,topic,政治,健康
0,"敦睦艦隊確診個案到訪地點:
 更新日指:109,4, 18+
 1、左營區:漢神巨蛋(添好運.海港城餐魔)/左營仁
 新光三越/瑞豐夜市/赤鬼生排(博愛二路 318
 號)/7-11先鋒門市/奥瑪烘培(左營區重愛
 路)/.玫瑰精品汽車旅館(民強路176號)
 2、苓雅區:四維羽球館仁
 3、前鎮區:新正薪醫院个
 4、燕巢區:義大商城/丹丹漢堡店(中民路591
 號)/7-11超商(中民路612號)
 5、前金區:薛強文皮膚科/麗馨商旅七賢館(市中个
 路229號)
 6、小港區:小港戶政事務所./小港郵局个
 7、三民區:好市多大順店/家樂福鼎山店/韓咪達仁
 韓式料理店(大順二路319)(
 8、楠梓區:卡布義式料理/長青藥局德賢店/寶雅个
 德賢店个
 9、鹽堤區:天天汕頭火鍋(七賢三路240號)
 10、鼓山區:M.帕餐魔(華榮路7號)/老四川(南<
 屏路 589.591號)(",0,1
1,三艘軍艦744人，4/15離開左營海軍基地，4/18全體召回，第一次採檢及18日今分19日新增21，共確診24人，24確診有8位是高雄市個案，744人有180位住高雄市，所以15.16.17.18有跟此軍艦或左營軍區人員有接觸的人要健康自主管理，注意自己有沒有出現症狀，有的話，請撥打電話07-7230250巡問如何就醫。防疫需要全民一起來！大家一起加油！,0,1
2,"https://youtu.be/cukrLiPj2Ck金正恩委員長死去【緊急ニュース速報】（朝鮮テレビ 朝鮮日報 ）Kim Jong Un diedhttps://youtu.be/cukrLiPj2Ck🔽メインチャンネル（かみなりおやじ）
 http://bit.ly/2SJ4s9s
 
 🔽サブチャンネル（かみなりおやじの楽屋裏）
 http://bit.ly/39igT0J
 
 🔽かみなり弟チャンネル
 https://bit.ly/2Xr4zce
 
 🔽Twitter
 https://twitter.com/ninkimono_ch
 
 🔽LINEスタンプ
 https://line.me/S/s",1,0
3,"金正恩腦死 享年36歲，2020真是恐怖的一年
 
 #金正恩指定勞動黨第一副部長金與正繼位 武則天來嘍。雪主怎辦？
 
 https://m.facebook.com/story.php?story_fbid=176262680496945&id=100043396414796Security checkhttps://m.facebook.com/story.php?story_fbid=176262680496945&id=100043396414796To personalise content, tailor and measure ads and provide a safer experience, we use cookies. By tapping on the site, you agree to our use of cookies on and off Facebook. Learn more, including about",1,0
4,"記得 今天、明天 2天內要去家樂福買東西順便領取1600元政府補助振興卷。切記！切記！不領白不領！
 家樂福狂灑8億振興券 每人1,600元
 會員才有喔！
 https://ctee.com.tw/news/life/254333.html家樂福狂灑8億振興券 每人1,600元 - 工商時報https://ctee.com.tw/news/life/254333.html圖／家樂福提供
 
 
 
 
 
 振興救經濟！量販龍頭家樂福18日宣布，將於4/19、4/20兩天在全台賣場推出「台灣加油 WE CAN HELP」活動，家樂福卡友只要在這二天到家樂福賣場消費滿1元以上，就可獲得高達1,600元的滿額「振興券」，預估將送出超過50萬份折價券給顧客，總金額超過8億元！
 
 
 
 家樂福表示，振興券其中1,",1,0
5,"快訊》CNN：金正恩傳手術後命危 美國密切監測情報 #LINETODAY
 
 https://today.line.me/TW/article/lXOxok?utm_source=lineshare快訊》CNN：金正恩傳手術後命危 美國密切監測情報 | 新頭殼 | LINE TODAYhttps://today.line.me/TW/article/lXOxok?utm_source=lineshareCP name
 
 新頭殼
 
 Reporter
 
 新頭殼newtalk |鄭仰哲 綜合報導
 
 Upload Date & Time
 發布時間 2020年4月21日10:07
 Update Date & Time
 更新時",1,0
6,"最初日本捐贈中國物資 ，貨櫃上題詞是：
 「山川異域，風月同天」
 
 後來當中國回贈日本口罩題詞是：「一衣帶水，源遠流長，隔海相望，櫻花滿開，眾志成城，抗疫必成」
 
 馬雲基金會捐贈義大利口罩用的是經典歌劇「公主徹夜未眠」中的詠嘆調詞：
 「消失吧，黑夜，黎明時我們將獲勝！」
 
 然後台灣捐贈物資時 題詞是：「台灣能幫上忙」Taiwan can help (並衍生出華航改名旁枝)
 
 日本、中國、馬雲基金會的例子在乎的是受贈者的感受！而台灣標榜的卻是捐贈者的角色！
 
 一個國家受文化陶冶的深度，真的是高下立判！
 
 台灣人民的格局與素質，整個被做LOW了！這就是「去文化」的結果！
 文化素質到底在哪裡？
 
 送兩百萬個口罩，就真的是大爺了？
 
 當美國人全國在跟死神拔河，不知道明天會如何時？台灣卻選擇在美國國內掀起罷免譚、加入WHA等等議題，其實時機不恰當，完全沒有同理心。罷免譚由別人來說就夠了，犯不著我們強出頭。
 
 事實上送口罩應該是基於同情心，否則就不會發生討伐新加坡總理夫人的事，人家只是 ""呃""了一下，沒有立刻感恩戴德！就把人家罵得頭破血流，這到底是哪門子做善事！？
 
 我想我們應該低調才是，否則反而會有反效果！昨天傳出德國婉拒我們捐助德國的一百萬口罩，我想也是看不慣我們的這種高調吧！？
 
 (台灣的1450們請你們長知識且休筆！否則害了台灣捐贈美意並出醜至國際...)",1,0
7,"轉貼訊息：
 英才路的85度c，鹿寮的家樂福，中山路的歐奇牛排館，最近都不要去，剛剛清潔隊臨時叫去消毒。清水是順風耳鼻喉科，已公告休二個禮拜。
 
 所以出門戴口罩、勤洗手，願大家平安健康！",0,1
8,"#確診案例曾到屏東市國民運動中心 #屏東大學 #環球影城 #潮州健身工廠 #長治鄉玄天上帝附近球場……
 屏東縣新增3例武漢肺炎確定病例，皆為敦睦艦隊案人員
 
 中央流行疫情指揮中心公布敦睦艦隊共24例確診，19日新增案例其中3例為屏縣個案，加上18日1例，共有4例皆為敦睦艦隊人員，確診個案目前皆收置醫院治療中。
 
 屏東縣政府接獲新增案件，立即展開各項緊急防治工作，嚴防疫情擴散蔓延。衛生局說明，這4名個案皆於4/15日下船，第1例於當日自行騎車返家1小時，即又返回軍艦，未有社區活動史。第2例經疫調顯示，曾出入的公共場所為屏東市國民運動中心(4/16 17:30-19:00；4/17 15:50-17:30)、長治鄉玄天上帝廟附近球場(4/17 17:30-19:00)，其他地點皆短暫且有戴口罩。第3例4/16下午至屏東大學找朋友、4/17至屏東大學接朋友於環球影城食用晚餐即返家未出。第4例曾至潮州健身工廠運動(4/16 10:30-14:00)，同日即全程戴口罩搭乘火車及高鐵前往其他縣市，已將疫調資料提供中央流行疫情指揮中心，衛生局已初步匡列掌握27位接觸者進行居家隔離及自主健康管理，並進行相關衛教及環境清消。4/20相關館場封館消毒，加強監測並請民眾提高警覺，相關疫調持續進行中。
 
 衛生局表示，因此波疫情部分確診個案有至社區活動，提醒民眾出入公共場所須加強防護措施，防疫重點如下：
 一、 請醫療機構提高通報警覺，加強TOCC、通報及進行必要的醫療措施。
 二、 強化社區防疫，民眾如近期出現發燒上呼吸道症狀或嗅味覺改變等疑似症狀，
 請配戴口罩儘速就醫。
 
 衛生局提醒縣內防疫安全需要縣民共同配合各項防治措施，才能將疫情傳播風險降到最低。再次提醒民眾應做好個人手部衛生與咳嗽禮節；與他人保持室內1.5公尺、室外1公尺的社交安全距離，若無法保持請配戴口罩；搭乘大眾運輸時，應全程配戴口罩並配合量測體溫；若身體不適請戴口罩速就醫，主動告知旅遊、接觸史等，並落實生病在家休息，加強疑似個案之診斷通報及相關防護措施，避免社區感染之情事發生，共同維護全民健康安全。
 #資訊提供屏東縣政府",0,1
9,"注意！緊急！
 請各站及車班組速確認是否有同仁家屬為敦睦艦隊士官兵 。
 斗六站回報斗六警務分駐所林所長兒子是軍艦確診之一，其兒子4/16斗六坐122次北上台北 ，所長目前居家檢疫中，所長4/16、18、19都有值勤，並曾出入行車室 ，所長的檢疫報告今晚知曉 。
 斗六站已將車站徹底清潔消毒 ，並請行車室同仁做好自主健康管理 。",0,1
